idx,slug,title,author,isbn,tags,summary
1,huozhe,活着,余华,9787506365437,文学 / 生存 / 苦难,关于人在苦难中如何活下去的故事。
2,xusanguan-maixueji,许三观卖血记,余华,,文学 / 家庭 / 说明书式人生,在日常与困顿之间，靠一次次“撑过去”把生活往前推。
3,xiongdi,兄弟,余华,,文学 / 时代 / 荒诞,在荒诞与残酷中，写尽人与时代的撕裂与牵连。
4,renjian-shige,人间失格,太宰治,9787544253994,文学 / 自我 / 情绪,把脆弱写到极致，也把自救留在字里行间。
5,xieyang,斜阳,太宰治,,文学 / 家族 / 失落,衰败时代里的尊严与崩塌，写得锋利又安静。
6,yueliangyu-liubianshi,月亮与六便士,毛姆,,文学 / 理想 / 选择,一个人为了内心的必然，决绝地离开安全生活。
7,daofeng,刀锋,毛姆,,文学 / 成长 / 自我探索,在人生拐弯处寻找答案：到底怎样才算活得清醒。
8,xiaowangzi,小王子,圣埃克苏佩里,,文学 / 童话 / 治愈,用最轻的语言提醒你：重要的东西，往往看不见。
9,zhuifengzhengderen,追风筝的人,卡勒德·胡赛尼,,文学 / 救赎 / 成长,关于背叛、愧疚与赎回：一生都在学会原谅。
10,laorenyuhai,老人与海,海明威,,文学 / 坚韧 / 尊严,一个人把尊严扛在肩上：输赢之外，仍要撑住。
11,liaobuqidegaicibi,了不起的盖茨比,菲茨杰拉德,,文学 / 欲望 / 幻灭,繁华的尽头是空：欲望与幻梦如何吞噬人。
12,nuoweidesenlin,挪威的森林,村上春树,,文学 / 孤独 / 青春,在告别与孤独里学会继续：温柔、漫长、难过。
13,haibiandekafuka,海边的卡夫卡,村上春树,,文学 / 成长 / 命运,一场关于命运与自我的迷走：越走越靠近内心。
14,yijiu-basi,1984,乔治·奥威尔,,文学 / 反乌托邦 / 社会,当语言被改写，现实也会被改写：警惕温水般的控制。
15,dongwunongchang,动物农场,乔治·奥威尔,,文学 / 寓言 / 权力,寓言写得很短，但刺得很深：权力如何变形。
16,juhuairen,局外人,阿尔贝·加缪,,文学 / 荒诞 / 存在,冷静到近乎残酷：当你无法融入世界，如何自处。
17,shuyi,鼠疫,阿尔贝·加缪,,文学 / 灾难 / 人性,灾难并不戏剧化，它只是漫长：人只能选择如何站着。
18,bianxingji,变形记,卡夫卡,,文学 / 异化 / 家庭,当你不再“有用”，世界会如何对你：令人窒息的寓言。
19,shenpan,审判,卡夫卡,,文学 / 荒诞 / 制度,无法解释的指控与无处可逃的系统：焦虑的经典版本。
20,hulanhuchuan,呼兰河传,萧红,,文学 / 乡土 / 人性,小城的冷与人的麻木：温柔叙述里藏着锋利。
21,chengnanjiushi,城南旧事,林海音,,文学 / 童年 / 成长,用孩子的目光看世界：温柔，却不回避离别。
22,sahala-gushi,撒哈拉的故事,三毛,,文学 / 旅行 / 自由,在异地与孤独中，把生活过成可以呼吸的样子。
23,yuji-buzailai,雨季不再来,三毛,,文学 / 青春 / 自我,青春的敏感与出走：把迷惘写成坦率。
24,woyuditant,我与地坛,史铁生,,文学 / 生命 / 思考,在身体受限之后，重新学习如何与世界相处。
25,bingxi-suibi,病隙碎笔,史铁生,,文学 / 随笔 / 生命,在痛苦与日常之间，写下不被催促的思考。
26,weichen,围城,钱钟书,,文学 / 讽刺 / 婚姻,聪明与自嘲并存：婚姻、理想与人性的拉扯。
27,banshengyuan,半生缘,张爱玲,,文学 / 爱情 / 命运,命运并不戏剧化，它只是一次次错过。
28,sufide-shijie,苏菲的世界,乔斯坦·贾德,,哲学 / 入门 / 思考,用故事带你走进哲学：不艰深，但诚实。
29,xixifu-shenhua,西西弗神话,阿尔贝·加缪,,哲学 / 存在 / 荒诞,当世界没有意义，人该如何继续行动。
30,chensilu,沉思录,马可·奥勒留,,哲学 / 自省 / 秩序,在混乱世界中保持秩序：对自己说的话。
31,lunyu-jinyi,论语（今译）,孔子,,哲学 / 经典 / 伦理,关于人如何立身处世的最早答案之一。
32,daodejing,道德经,老子,,哲学 / 经典 / 思辨,不争、不抢、不用力：另一种看世界的方式。
33,zhuangzi-neipian,庄子（内篇）,庄子,,哲学 / 经典 / 自由,当现实太重时，提供一种精神上的松动。
34,aide-yishu,爱的艺术,艾里希·弗洛姆,,心理 / 关系 / 成长,爱不是感觉，而是一种需要练习的能力。
35,taobiziyou,逃避自由,艾里希·弗洛姆,,心理 / 社会 / 思考,当选择太多，人反而更想把自由交出去。
36,renxing-ruodian,人性的弱点,戴尔·卡耐基,,心理 / 沟通 / 经典,老书但仍然有效：人与人之间的基本心理。
37,huochu-yiyi,活出意义来,维克多·弗兰克尔,,心理 / 生命 / 意义,在极端处境中，意义如何让人继续活着。
38,dangxia-de-liliang,当下的力量,埃克哈特·托利,,心理 / 觉察 / 当下,把注意力拉回此刻：减轻精神内耗。
39,shaoyourenzou-delv,少有人走的路,M·斯科特·派克,,心理 / 成长 / 自律,成长并不轻松，但可以更诚实地面对。
40,pingfan-de-shijie,平凡的世界,路遥,,文学 / 现实 / 奋斗,在重复与艰难中，把日子一步步过下去。
41,bailuyuan,白鹿原,陈忠实,,文学 / 历史 / 现实,家族、土地与时代：缓慢而沉重的命运书写。
42,chenailuoding,尘埃落定,阿来,,文学 / 历史 / 人性,权力更迭中的清醒与迷狂：安静但锋利。
43,eergunahe,额尔古纳河右岸,迟子建,,文学 / 自然 / 民族,在边地与时间中，书写人与自然的共存。
44,shengsipeilao,生死疲劳,莫言,,文学 / 荒诞 / 人性,在轮回与荒诞中，看尽人世欲望。
45,honggaoliang,红高粱家族,莫言,,文学 / 历史 / 生命,野性、生命力与历史暴力的交织。
46,wode-aletai,我的阿勒泰,李娟,,文学 / 随笔 / 生活,在边疆生活中，重新理解日常与自由。
47,yangdao,羊道三部曲,李娟,,文学 / 纪实 / 生活,漫长迁徙中的生活细节与人之韧性。
48,kanjian,看见,柴静,,非虚构 / 社会 / 观察,把被忽略的现实重新呈现出来。
49,women-san,我们仨,杨绛,,文学 / 家庭 / 回忆,在失去之后，平静地回看一生。
50,wode-ailetai,我的阿勒泰,李娟,,文学 / 随笔 / 生活,在边地生活中，重新理解日常、孤独与自由。
51,yangdao-sanbuqu,羊道三部曲,李娟,,文学 / 纪实 / 生活,漫长迁徙中的人、牲畜与时间，缓慢却真实。
52,kanjian-shijie,看见,柴静,,非虚构 / 社会 / 观察,把被忽略的现实重新呈现出来。
53,women-san,我们仨,杨绛,,文学 / 家庭 / 回忆,在失去之后，平静地回看一生。
54,wanli-shiwunian,万历十五年,黄仁宇,,历史 / 非虚构 / 制度,从一个年份切入，理解制度如何影响个体。
55,jiaohun,叫魂,孔飞力,,历史 / 社会 / 权力,一场社会恐慌如何在体制中被放大。
56,mingchao-naxieshi,明朝那些事儿（第一部）,当年明月,,历史 / 通俗 / 人物,用通俗方式重新讲述历史与人性。
57,xiangtu-zhongguo,乡土中国,费孝通,,社会 / 经典 / 结构,理解中国社会结构的一把钥匙。
58,baiyexing,白夜行,东野圭吾,,文学 / 悬疑 / 人性,在漫长阴影中前行的人生选择。
59,jieyou-zahuodian,解忧杂货店,东野圭吾,,文学 / 治愈 / 人生,温和地讨论选择、后悔与时间。
60,xianyiren-x,嫌疑人X的献身,东野圭吾,,文学 / 推理 / 情感,理性与情感的极端碰撞。
61,huoluan-shiqi-de-aiqing,霍乱时期的爱情,加西亚·马尔克斯,,文学 / 爱情 / 时间,漫长等待中的爱情与时间。
62,bainian-gudu,百年孤独,加西亚·马尔克斯,,文学 / 魔幻现实 / 家族,家族、命运与时间的循环。
63,kazhamazuofu,卡拉马佐夫兄弟,陀思妥耶夫斯基,,文学 / 哲学 / 人性,信仰、欲望与道德的终极拷问。
64,zuiyu-fa,罪与罚,陀思妥耶夫斯基,,文学 / 心理 / 道德,良知如何在极端处境中发声。
65,anna-kalieningna,安娜·卡列尼娜,列夫·托尔斯泰,,文学 / 爱情 / 社会,个人欲望与社会规范的冲突。
66,zhanzheng-heping,战争与和平,列夫·托尔斯泰,,文学 / 历史 / 命运,宏大历史下的个体命运。
67,jianai,简爱,夏洛蒂·勃朗特,,文学 / 女性 / 成长,自尊、独立与爱情的选择。
68,huxiaoshan,呼啸山庄,艾米莉·勃朗特,,文学 / 爱情 / 悲剧,极端情感带来的毁灭与执念。
69,aoman-yupianjian,傲慢与偏见,简·奥斯汀,,文学 / 爱情 / 成长,理性与情感之间的平衡。
70,yezhong-qianshuiting,夜晚的潜水艇,陈春成,,文学 / 短篇 / 想象,现实与幻想之间的微妙通道。
71,changande-lizhi,长安的荔枝,马伯庸,,文学 / 历史 / 现实,小人物在制度中的挣扎与聪明。
72,santi-yi,三体,刘慈欣,,科幻 / 文明 / 未来,文明在宇宙尺度下的选择。
73,qiuzhuang-shandian,球状闪电,刘慈欣,,科幻 / 执念 / 科学,执念如何推动科学与人生。
74,shijian-jianshi,时间简史,史蒂芬·霍金,,科普 / 宇宙 / 时间,用通俗方式理解宇宙与时间。
75,qiangpao-bingjun,枪炮、病菌与钢铁,贾雷德·戴蒙德,,历史 / 文明 / 非虚构,环境如何塑造人类历史走向。
76,renlei-jianshi,人类简史,尤瓦尔·赫拉利,,历史 / 文明 / 思考,从宏观角度回看人类发展。
77,weilai-jianshi,未来简史,尤瓦尔·赫拉利,,未来 / 科技 / 社会,技术如何重塑人类的未来。
78,yule-zhisi,娱乐至死,尼尔·波兹曼,,社会 / 媒介 / 批判,媒介如何悄然改变公共讨论。
79,meili-xinshijie,美丽新世界,阿道司·赫胥黎,,文学 / 反乌托邦 / 社会,以快乐之名的控制社会。
80,yishijie,一九八四（1984）,乔治·奥威尔,,文学 / 反乌托邦 / 社会,当语言被改写，现实也被改写：警惕温水般的控制。
81,dongwunongchang-2,动物农场（寓言版）,乔治·奥威尔,,文学 / 寓言 / 权力,很短的寓言，但刺得很深：权力如何变形。
82,wangxiaobo-sidai,黄金时代,王小波,,文学 / 讽刺 / 时代,在荒诞现实里保持清醒与幽默。
83,wangxiaobo-meng,白银时代,王小波,,文学 / 荒诞 / 思考,用想象与荒诞，把现实照得更清楚。
84,wangxiaobo-qingtong,青铜时代,王小波,,文学 / 历史 / 人性,把历史与人性写成锋利的寓言。
85,wangxiaobo-silence,沉默的大多数,王小波,,随笔 / 思想 / 自由,在喧闹里保留理性：对表达与自由的坚持。
86,zhangai-luojing,倾城之恋,张爱玲,,文学 / 爱情 / 人性,在不可靠的时代里，爱情像一次短暂的靠岸。
87,zhangai-chuanqi,传奇,张爱玲,,文学 / 短篇 / 人性,冷而细：把人心的纹理写到极致。
88,sushidian,苏东坡传,林语堂,,传记 / 文学 / 人生,在困顿与豁达之间，看一个人如何把日子过下去。
89,linyutang-shenghuo,生活的艺术,林语堂,,随笔 / 生活 / 治愈,不把生活当战场：把节奏慢慢调回柔软。
90,xiongdi-2,兄弟（再读提示版）,余华,,文学 / 时代 / 荒诞,荒诞的笑与残酷的痛并存：人与时代的撕裂。
91,dengxiaoyu,地下室手记,陀思妥耶夫斯基,,文学 / 心理 / 存在,自我拧巴到极致：把人性的阴影照出来。
92,hailang,海浪,弗吉尼亚·伍尔夫,,文学 / 意识流 / 内心,像潮水一样的意识流：缓慢但极其细腻。
93,daqiao,小城与不确定,（可后补）,,预留 / 短篇 / 当代,预留：用于你后续加入的当代短篇集。
94,heise-youmo,黑色幽默,约瑟夫·海勒,,文学 / 荒诞 / 战争,在荒诞系统里求生：笑着也窒息。
95,yuxiang,禅与摩托车维修艺术,罗伯特·M·波西格,,哲学 / 思考 / 成长,用旅行讨论“何为质量”：理性与感受的缝合。
96,man-you,漫长的告别,雷蒙德·钱德勒,,文学 / 推理 / 孤独,硬汉推理的温柔底色：孤独与体面。
97,shixian,失眠（短篇/随笔）,（可后补）,,预留 / 睡前 / 治愈,预留：用于你后续补齐的睡前主题内容。
98,wuyu,无依之地,杰西卡·布鲁德,,非虚构 / 生活 / 社会,现实的漂泊不是浪漫：仍然要把生活撑住。
99,zaijianludong,再见，路灯,（可后补）,,预留 / 城市 / 夜晚,预留：用于你后续加入的城市夜晚主题书。
